sample_id,node,group,group_label,semantic_hint,promote_suff_ratio,suppress_suff_ratio,promote_suff_top1,suppress_suff_top1,promote_nec_drop,suppress_nec_drop,promote_nec_top1_drop,suppress_nec_top1_drop
apps_python_1,L12H6,symmetric_backbone,Symmetric Backbone,shared router,0.0,-0.018867924528301886,False,False,0.0,0.018867924528301883,0.0,0.0
apps_python_1,L13H9,symmetric_backbone,Symmetric Backbone,shared router,0.0,-0.03773584905660377,False,False,0.0,0.018867924528301883,0.0,0.0
apps_python_1,L16H4,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased router,0.1320754716981132,-0.09433962264150944,False,False,0.0,0.018867924528301883,0.0,0.0
apps_python_1,L16H8,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased router,0.37735849056603776,-0.22641509433962265,False,False,0.0,0.018867924528301883,0.0,0.0
apps_python_1,L16H9,no_tool_tail,No-Tool Tail,no-tool-tail router,-0.03773584905660377,-0.018867924528301886,False,False,0.018867924528301883,0.018867924528301883,0.0,0.0
apps_python_1,L17H2,no_tool_tail,No-Tool Tail,no-tool-tail router,0.1509433962264151,-0.07547169811320754,False,False,0.018867924528301883,0.018867924528301883,0.0,0.0
apps_python_1,L17H8,symmetric_backbone,Symmetric Backbone,user-content reader,0.16981132075471697,-0.09433962264150944,False,False,0.018867924528301883,0.018867924528301883,0.0,0.0
apps_python_1,L19H6,tool_tail,Tool Tail,tool-tail router,0.07547169811320754,-0.018867924528301886,False,False,0.018867924528301883,0.018867924528301883,0.0,0.0
apps_python_1,L20H5,no_tool_bias_backbone,No-Tool-Bias Backbone,user-content reader,-0.018867924528301886,-0.018867924528301886,False,False,-0.018867924528301883,0.0,0.0,0.0
apps_python_1,L21H1,tool_bias_backbone,Tool-Bias Backbone,format/prefix router,0.33962264150943394,-0.1509433962264151,False,False,0.0,0.018867924528301883,0.0,0.0
