head,query_span,key_span,density_mean
L2H14,system_preamble,system_preamble,0.02857142873108387
L2H14,system_preamble,user_lead_phrase,0.0
L2H14,system_preamble,function_body_anchor,0.0
L2H14,system_preamble,file_target,0.0
L2H14,system_preamble,instruction_suffix,0.0
L2H14,system_preamble,task_body,0.0
L2H14,user_lead_phrase,system_preamble,0.011649116369623779
L2H14,user_lead_phrase,user_lead_phrase,0.02380225867168553
L2H14,user_lead_phrase,function_body_anchor,0.0
L2H14,user_lead_phrase,file_target,0.0
L2H14,user_lead_phrase,instruction_suffix,0.0
L2H14,user_lead_phrase,task_body,0.0
L2H14,function_body_anchor,system_preamble,0.010240341707278205
L2H14,function_body_anchor,user_lead_phrase,0.024829629651032456
L2H14,function_body_anchor,function_body_anchor,0.023604916912775397
L2H14,function_body_anchor,file_target,0.0
L2H14,function_body_anchor,instruction_suffix,0.0
L2H14,function_body_anchor,task_body,0.0
L2H14,file_target,system_preamble,0.012001381317368318
L2H14,file_target,user_lead_phrase,0.011131301083246387
L2H14,file_target,function_body_anchor,0.017077276301939566
L2H14,file_target,file_target,0.05881886924095361
L2H14,file_target,instruction_suffix,0.0
L2H14,file_target,task_body,0.0
L2H14,instruction_suffix,system_preamble,0.005672107409542687
L2H14,instruction_suffix,user_lead_phrase,0.030292997388009252
L2H14,instruction_suffix,function_body_anchor,0.03427163835611874
L2H14,instruction_suffix,file_target,0.08169908192882944
L2H14,instruction_suffix,instruction_suffix,0.011779022482258077
L2H14,instruction_suffix,task_body,0.0
L2H14,task_body,system_preamble,0.0019289896937120684
L2H14,task_body,user_lead_phrase,0.0068784830691970625
L2H14,task_body,function_body_anchor,0.008746257654557998
L2H14,task_body,file_target,0.03072732704054208
L2H14,task_body,instruction_suffix,0.005562201114896859
L2H14,task_body,task_body,0.008495981158888178
L11H5,system_preamble,system_preamble,0.02857142873108387
L11H5,system_preamble,user_lead_phrase,0.0
L11H5,system_preamble,function_body_anchor,0.0
L11H5,system_preamble,file_target,0.0
L11H5,system_preamble,instruction_suffix,0.0
L11H5,system_preamble,task_body,0.0
L11H5,user_lead_phrase,system_preamble,0.01747618314375277
L11H5,user_lead_phrase,user_lead_phrase,0.08533004465119233
L11H5,user_lead_phrase,function_body_anchor,0.0
L11H5,user_lead_phrase,file_target,0.0
L11H5,user_lead_phrase,instruction_suffix,0.0
L11H5,user_lead_phrase,task_body,0.0
L11H5,function_body_anchor,system_preamble,0.007608977474656051
L11H5,function_body_anchor,user_lead_phrase,0.03236254111719748
L11H5,function_body_anchor,function_body_anchor,0.06328159034593321
L11H5,function_body_anchor,file_target,0.0
L11H5,function_body_anchor,instruction_suffix,0.0
L11H5,function_body_anchor,task_body,0.0
L11H5,file_target,system_preamble,0.014007977463566955
L11H5,file_target,user_lead_phrase,0.019283926042096836
L11H5,file_target,function_body_anchor,0.03239620594994659
L11H5,file_target,file_target,0.11433370379717352
L11H5,file_target,instruction_suffix,0.0
L11H5,file_target,task_body,0.0
L11H5,instruction_suffix,system_preamble,0.006253494819601844
L11H5,instruction_suffix,user_lead_phrase,0.01689100410588975
L11H5,instruction_suffix,function_body_anchor,0.03064223784398979
L11H5,instruction_suffix,file_target,0.09212606181851295
L11H5,instruction_suffix,instruction_suffix,0.04047946446405409
L11H5,instruction_suffix,task_body,0.0
L11H5,task_body,system_preamble,0.00635662425929286
L11H5,task_body,user_lead_phrase,0.0015369556869792532
L11H5,task_body,function_body_anchor,0.0013283387330109034
L11H5,task_body,file_target,0.005254063490269521
L11H5,task_body,instruction_suffix,0.0014815511874350447
L11H5,task_body,task_body,0.009878177425381671
