variant,rank,token,count,attn_median
no_tool_manually,1, query,17,0.06489568948745728
no_tool_manually,1,\n\n,3,0.05409601703286171
no_tool_manually,2, below,1,0.049682989716529846
no_tool_manually,2, query,2,0.05269184894859791
no_tool_manually,2,\n\n,16,0.053942739963531494
no_tool_manually,2,assistant,1,0.05051441863179207
no_tool_manually,3, query,1,0.048014767467975616
no_tool_manually,3,\n\n,1,0.05047782137989998
no_tool_manually,3,assistant,18,0.04526135511696339
no_tool_manually,4, below,1,0.03725970536470413
no_tool_manually,4, call,1,0.04075130447745323
no_tool_manually,4, the,16,0.03819367475807667
no_tool_manually,4,"{""",2,0.036778613924980164
no_tool_manually,5, below,6,0.03147997334599495
no_tool_manually,5, the,3,0.034265272319316864
no_tool_manually,5,assistant,1,0.04406162351369858
no_tool_manually,5,"{""",10,0.03181489650160074
no_tool_out,1, below,1,0.05906035006046295
no_tool_out,1, query,16,0.06313533522188663
no_tool_out,1,\n\n,3,0.05462168529629707
no_tool_out,2, query,2,0.051322611048817635
no_tool_out,2,\n\n,16,0.05145726539194584
no_tool_out,2,assistant,2,0.05228298157453537
no_tool_out,3, query,1,0.04981091246008873
no_tool_out,3, the,3,0.045090045779943466
no_tool_out,3,\n\n,1,0.04817116633057594
no_tool_out,3,assistant,15,0.04621044918894768
no_tool_out,4, below,5,0.03760695457458496
no_tool_out,4, query,1,0.045905277132987976
no_tool_out,4, the,11,0.038328252732753754
no_tool_out,4,assistant,2,0.041364435106515884
no_tool_out,4,"{""",1,0.0382830910384655
no_tool_out,5, below,9,0.0306865181773901
no_tool_out,5, call,1,0.035348933190107346
no_tool_out,5, the,6,0.03779757581651211
no_tool_out,5,assistant,1,0.04274376109242439
no_tool_out,5,"{""",3,0.032418254762887955
no_tool_properly,1, query,17,0.06526098400354385
no_tool_properly,1,\n\n,3,0.055511731654405594
no_tool_properly,2, query,3,0.053108666092157364
no_tool_properly,2,\n\n,17,0.05508802831172943
no_tool_properly,3, below,1,0.047813646495342255
no_tool_properly,3,assistant,19,0.046172354370355606
no_tool_properly,4, below,5,0.03274381533265114
no_tool_properly,4, call,1,0.03966979682445526
no_tool_properly,4, the,1,0.025940168648958206
no_tool_properly,4,assistant,1,0.045726507902145386
no_tool_properly,4,"{""",12,0.032960185781121254
no_tool_properly,5," """"""\n",1,0.030066898092627525
no_tool_properly,5, assist,2,0.027338560670614243
no_tool_properly,5, below,5,0.030809683725237846
no_tool_properly,5, call,3,0.02879379317164421
no_tool_properly,5, function,1,0.028826845809817314
no_tool_properly,5, the,2,0.025752998888492584
no_tool_properly,5, user,1,0.026404326781630516
no_tool_properly,5,"{""",5,0.030945107340812683
original_clean,1, below,1,0.06210935115814209
original_clean,1, query,9,0.06969434767961502
original_clean,1, the,7,0.06757460534572601
original_clean,1,\n\n,3,0.05628174543380737
original_clean,2, query,9,0.05313298851251602
original_clean,2, the,2,0.05536801367998123
original_clean,2,\n\n,9,0.05496279522776604
original_clean,3, below,1,0.0472140833735466
original_clean,3, query,1,0.04496254771947861
original_clean,3, the,1,0.05020492896437645
original_clean,3,\n\n,6,0.04813853092491627
original_clean,3,assistant,11,0.04913939908146858
original_clean,4, below,4,0.03774218261241913
original_clean,4, call,1,0.04103470221161842
original_clean,4, query,1,0.046935491263866425
original_clean,4, the,1,0.03139711171388626
original_clean,4,Write,1,0.04365674778819084
original_clean,4,\n\n,2,0.047186339274048805
original_clean,4,assistant,7,0.04393552988767624
original_clean,4,"{""",3,0.030013496056199074
original_clean,5, assist,1,0.02770712785422802
original_clean,5, below,8,0.033713676035404205
original_clean,5, call,1,0.028381584212183952
original_clean,5, the,2,0.029478087089955807
original_clean,5,assistant,2,0.04170887544751167
original_clean,5,"{""",6,0.03170720208436251
original_corrupt,1, query,9,0.07226445525884628
original_corrupt,1, the,11,0.11164852231740952
original_corrupt,2, below,1,0.04792020469903946
original_corrupt,2, query,6,0.05302827060222626
original_corrupt,2,\n\n,13,0.04883018508553505
original_corrupt,3, query,3,0.05116996541619301
original_corrupt,3, the,2,0.043747423216700554
original_corrupt,3,\n\n,6,0.04615902528166771
original_corrupt,3,assistant,9,0.04430253058671951
original_corrupt,4, below,1,0.03656110540032387
original_corrupt,4, call,1,0.041886456310749054
original_corrupt,4, query,2,0.04208727739751339
original_corrupt,4, the,3,0.03722148761153221
original_corrupt,4,\n\n,1,0.045682571828365326
original_corrupt,4,assistant,10,0.04350373148918152
original_corrupt,4,"{""",2,0.034384896978735924
original_corrupt,5," """"""\n",1,0.03088950179517269
original_corrupt,5, assist,1,0.027645597234368324
original_corrupt,5, below,9,0.03381713479757309
original_corrupt,5, the,1,0.03817703202366829
original_corrupt,5,Craft,1,0.032673854380846024
original_corrupt,5,Implement,3,0.03539329394698143
original_corrupt,5,ise,1,0.03903821483254433
original_corrupt,5,"{""",3,0.03432784974575043
tool_manually,1, query,17,0.06553442776203156
tool_manually,1,\n\n,3,0.054562509059906006
tool_manually,2, below,1,0.049768149852752686
tool_manually,2, query,2,0.05327863618731499
tool_manually,2,\n\n,16,0.05273316614329815
tool_manually,2,assistant,1,0.05186339467763901
tool_manually,3, query,1,0.04854711890220642
