sample_id,sample_rank,q_index,edge,source,target,source_ratio,blocked_ratio,edge_ratio,gap
codecontests_cpp_186,456,,L11H1->MLP16,L11H1,MLP16,0.08333333333333333,0.06666666666666667,0.016666666666666663,7.5
codecontests_cpp_186,456,,L1H5->L11H1,L1H5,L11H1,0.05,0.03333333333333333,0.01666666666666667,7.5
codecontests_cpp_186,456,,L21H12->L23H6,L21H12,L23H6,0.35,0.26666666666666666,0.08333333333333331,7.5
codecontests_cpp_186,456,,MLP19->MLP20,MLP19,MLP20,0.4,0.31666666666666665,0.08333333333333337,7.5
codecontests_cpp_186,456,,L23H6->Residual Output: <tool_call>,L23H6,Residual Output: <tool_call>,0.31666666666666665,0.0,0.31666666666666665,7.5
codecontests_cpp_186,456,,MLP16->MLP17,MLP16,MLP17,0.45,0.21666666666666667,0.23333333333333334,7.5
codecontests_cpp_186,456,,MLP12->L13H9,MLP12,L13H9,0.31666666666666665,0.18333333333333332,0.13333333333333333,7.5
codecontests_cpp_186,456,,MLP16->L17H8,MLP16,L17H8,0.45,0.36666666666666664,0.08333333333333337,7.5
codecontests_cpp_186,456,,MLP19->L23H6,MLP19,L23H6,0.4,0.3333333333333333,0.06666666666666671,7.5
codecontests_cpp_186,456,,MLP19->L21H1,MLP19,L21H1,0.4,0.3333333333333333,0.06666666666666671,7.5
codecontests_cpp_186,456,,L13H9->MLP16,L13H9,MLP16,0.05,-0.016666666666666666,0.06666666666666667,7.5
codecontests_cpp_186,456,,Input Embed->L1H5,Input Embed,L1H5,1.0,1.0333333333333334,-0.03333333333333344,7.5
codecontests_cpp_186,456,,MLP12->MLP17,MLP12,MLP17,0.31666666666666665,0.13333333333333333,0.18333333333333332,7.5
codecontests_cpp_186,456,,MLP12->L17H8,MLP12,L17H8,0.31666666666666665,0.23333333333333334,0.08333333333333331,7.5
codecontests_cpp_186,456,,L18H14->MLP19,L18H14,MLP19,0.21666666666666667,0.16666666666666666,0.05000000000000002,7.5
codecontests_cpp_186,456,,MLP17->L18H14,MLP17,L18H14,0.35,0.3333333333333333,0.016666666666666663,7.5
