sample_id,head,span,rescue_ratio,decision_score,top1_success
apps_python_1,L2H14,lead_phrase,0.33031674208144796,-2.28466796875,False
apps_python_1,L2H14,function_body_anchor,0.06787330316742081,-3.21746826171875,False
apps_python_1,L2H14,file_target,0.19909502262443438,-2.75665283203125,False
apps_python_1,L2H14,tail_suffix,0.06787330316742081,-3.2177734375,False
apps_python_1,L2H14,task_body,0.13574660633484162,-2.98046875,False
apps_python_1,L16H8,lead_phrase,-0.06787330316742081,-3.6854095458984375,False
apps_python_1,L16H8,function_body_anchor,-0.03167420814479638,-3.56072998046875,False
apps_python_1,L16H8,file_target,-0.058823529411764705,-3.655437469482422,False
apps_python_1,L16H8,tail_suffix,0.42081447963800905,-1.948974609375,False
apps_python_1,L16H8,task_body,0.09954751131221719,-3.106842041015625,False
apps_python_1,L17H2,lead_phrase,0.0,-3.452442169189453,False
apps_python_1,L17H2,function_body_anchor,-0.12669683257918551,-3.887542724609375,False
apps_python_1,L17H2,file_target,-0.03167420814479638,-3.5621871948242188,False
apps_python_1,L17H2,tail_suffix,-0.03167420814479638,-3.561431884765625,False
apps_python_1,L17H2,task_body,-0.03167420814479638,-3.5609664916992188,False
apps_python_1,L17H8,lead_phrase,-0.03167420814479638,-3.562283515930176,False
apps_python_1,L17H8,function_body_anchor,0.0,-3.453049659729004,False
apps_python_1,L17H8,file_target,0.03619909502262444,-3.3275375366210938,False
apps_python_1,L17H8,tail_suffix,0.09954751131221719,-3.106964111328125,False
apps_python_1,L17H8,task_body,-0.06787330316742081,-3.684906005859375,False
apps_python_1,L20H5,lead_phrase,-0.03167420814479638,-3.5614089965820312,False
apps_python_1,L20H5,function_body_anchor,0.0,-3.4522247314453125,False
apps_python_1,L20H5,file_target,-0.058823529411764705,-3.6554222106933594,False
apps_python_1,L20H5,tail_suffix,0.0,-3.4527130126953125,False
apps_python_1,L20H5,task_body,0.0,-3.452281951904297,False
codecontests_cpp_1,L2H14,lead_phrase,0.09433962264150944,-5.9977569580078125,False
codecontests_cpp_1,L2H14,function_body_anchor,0.19339622641509435,-5.337493896484375,False
codecontests_cpp_1,L2H14,file_target,0.08018867924528301,-6.091644287109375,False
codecontests_cpp_1,L2H14,tail_suffix,0.03773584905660377,-6.3733062744140625,False
codecontests_cpp_1,L2H14,task_body,0.13679245283018868,-5.7168426513671875,False
codecontests_cpp_1,L16H8,lead_phrase,-0.11320754716981132,-7.374156951904297,False
codecontests_cpp_1,L16H8,function_body_anchor,0.04245283018867924,-6.340087890625,False
codecontests_cpp_1,L16H8,file_target,-0.07075471698113207,-7.091583251953125,False
codecontests_cpp_1,L16H8,tail_suffix,-0.03773584905660377,-6.875143051147461,False
codecontests_cpp_1,L16H8,task_body,-0.018867924528301886,-6.750068187713623,False
codecontests_cpp_1,L17H2,lead_phrase,-0.05188679245283019,-6.967414855957031,False
